Date,RealEntry,Units
2015-03-28,161313842,kWh/d
2015-03-29,161313842,kWh/d
2015-03-30,161313842,kWh/d
2015-03-31,161313842,kWh/d
2015-04-01,162973824,kWh/d
2015-04-02,162973824,kWh/d
2015-04-03,162973824,kWh/d
2015-04-04,162973824,kWh/d
2015-04-05,162973824,kWh/d
2015-04-06,162973824,kWh/d
2015-04-07,162973824,kWh/d
2015-04-08,162973824,kWh/d
2015-04-09,162973824,kWh/d
2015-04-10,162973824,kWh/d
2015-04-11,162973824,kWh/d
2015-04-12,162973824,kWh/d
2015-04-13,162973824,kWh/d
2015-04-14,162973824,kWh/d
2015-04-15,162973824,kWh/d
2015-04-16,162973824,kWh/d
2015-04-17,162973824,kWh/d
2015-04-18,162973824,kWh/d
2015-04-19,162973824,kWh/d
2015-04-20,162973824,kWh/d
2015-04-21,162973824,kWh/d
2015-04-22,162973826,kWh/d
2015-04-23,162973826,kWh/d
2015-04-24,162973826,kWh/d
2015-04-25,162973826,kWh/d
2015-04-26,162973824,kWh/d
2015-04-27,162973826,kWh/d
2015-04-28,162973824,kWh/d
2015-04-29,162973824,kWh/d
2015-04-30,162973826,kWh/d
2015-05-01,162973824,kWh/d
2015-05-02,162973824,kWh/d
2015-05-03,162973824,kWh/d
2015-05-04,162973824,kWh/d
2015-05-05,162973824,kWh/d
2015-05-06,162973826,kWh/d
2015-05-07,162973824,kWh/d
2015-05-08,162973826,kWh/d
2015-05-09,162973826,kWh/d
2015-05-10,162973826,kWh/d
2015-05-11,162973826,kWh/d
2015-05-12,162973826,kWh/d
2015-05-13,162973824,kWh/d
2015-05-14,162973824,kWh/d
2015-05-15,162973824,kWh/d
2015-05-16,162973824,kWh/d
2015-05-17,162973824,kWh/d
2015-05-18,162973824,kWh/d
2015-05-19,162973824,kWh/d
2015-05-20,162973824,kWh/d
2015-05-21,162973824,kWh/d
2015-05-22,162973824,kWh/d
2015-05-23,162973824,kWh/d
2015-05-24,162973824,kWh/d
2015-05-25,162973824,kWh/d
2015-05-26,162973824,kWh/d
2015-05-27,162973824,kWh/d
2015-05-28,162973824,kWh/d
2015-05-29,162973824,kWh/d
2015-05-30,162973824,kWh/d
2015-05-31,162973824,kWh/d
2015-06-01,162973824,kWh/d
2015-06-02,162973824,kWh/d
2015-06-03,162973824,kWh/d
2015-06-04,162973824,kWh/d
2015-06-05,162973824,kWh/d
2015-06-06,162973824,kWh/d
2015-06-07,162973824,kWh/d
2015-06-08,162973824,kWh/d
2015-06-09,162973824,kWh/d
2015-06-10,162973824,kWh/d
2015-06-11,162973824,kWh/d
2015-06-12,162973826,kWh/d
2015-06-13,162973824,kWh/d
2015-06-14,162973824,kWh/d
2015-06-15,162973824,kWh/d
2015-06-16,162973824,kWh/d
2015-06-17,162973824,kWh/d
2015-06-18,162973824,kWh/d
2015-06-19,162973824,kWh/d
2015-06-20,162973824,kWh/d
2015-06-21,162973824,kWh/d
2015-06-22,162973824,kWh/d
2015-06-23,162973824,kWh/d
2015-06-24,162973824,kWh/d
2015-06-25,162973824,kWh/d
2015-06-26,162973826,kWh/d
2015-06-27,162973824,kWh/d
2015-06-28,162973824,kWh/d
2015-06-29,162973826,kWh/d
2015-06-30,162973824,kWh/d
2015-07-01,162473824,kWh/d
2015-07-02,162473824,kWh/d
2015-07-03,162473824,kWh/d
2015-07-04,162473824,kWh/d
2015-07-05,162473824,kWh/d
2015-07-06,162473824,kWh/d
2015-07-07,162473824,kWh/d
2015-07-08,162473824,kWh/d
2015-07-09,162473824,kWh/d
2015-07-10,162473835,kWh/d
2015-07-11,162473835,kWh/d
2015-07-12,162473835,kWh/d
2015-07-13,162473824,kWh/d
2015-07-14,162473824,kWh/d
2015-07-15,162473835,kWh/d
2015-07-16,162473835,kWh/d
2015-07-17,162473824,kWh/d
2015-07-18,162473824,kWh/d
2015-07-19,162473824,kWh/d
2015-07-20,162473835,kWh/d
2015-07-21,162473835,kWh/d
2015-07-22,162473835,kWh/d
2015-07-23,162473835,kWh/d
2015-07-24,162473835,kWh/d
2015-07-25,162473824,kWh/d
2015-07-26,162473824,kWh/d
2015-07-27,162473824,kWh/d
2015-07-28,162473835,kWh/d
2015-07-29,162473824,kWh/d
2015-07-30,162473824,kWh/d
2015-07-31,162473835,kWh/d
2015-08-01,162473824,kWh/d
2015-08-02,162473824,kWh/d
2015-08-03,162473824,kWh/d
2015-08-04,162473835,kWh/d
2015-08-05,162473835,kWh/d
2015-08-06,162473824,kWh/d
2015-08-07,162473835,kWh/d
2015-08-08,162473824,kWh/d
2015-08-09,162473824,kWh/d
2015-08-10,162473824,kWh/d
2015-08-11,162473824,kWh/d
2015-08-12,162473835,kWh/d
2015-08-13,162473824,kWh/d
2015-08-14,162473824,kWh/d
2015-08-15,162473824,kWh/d
2015-08-16,162473824,kWh/d
2015-08-17,162473824,kWh/d
2015-08-18,162473824,kWh/d
2015-08-19,162473835,kWh/d
2015-08-20,162473824,kWh/d
2015-08-21,162473835,kWh/d
2015-08-22,162473824,kWh/d
2015-08-23,162473824,kWh/d
2015-08-24,162473835,kWh/d
2015-08-25,162473835,kWh/d
2015-08-26,162473835,kWh/d
2015-08-27,162473835,kWh/d
2015-08-28,162473835,kWh/d
2015-08-29,162473835,kWh/d
2015-08-30,162473835,kWh/d
2015-08-31,162473835,kWh/d
2015-09-01,162473824,kWh/d
2015-09-02,162473824,kWh/d
2015-09-03,162473824,kWh/d
2015-09-04,162473824,kWh/d
2015-09-05,162473824,kWh/d
2015-09-06,162473824,kWh/d
2015-09-07,162473824,kWh/d
2015-09-08,162473824,kWh/d
2015-09-09,162473824,kWh/d
2015-09-10,162473824,kWh/d
2015-09-11,162473824,kWh/d
2015-09-12,162473824,kWh/d
2015-09-13,162473824,kWh/d
2015-09-14,162473824,kWh/d
2015-09-15,162473824,kWh/d
2015-09-16,162473824,kWh/d
2015-09-17,162473824,kWh/d
2015-09-18,162473835,kWh/d
2015-09-19,162473835,kWh/d
2015-09-20,162473835,kWh/d
2015-09-21,162473835,kWh/d
2015-09-22,162473835,kWh/d
2015-09-23,162473835,kWh/d
2015-09-24,162473835,kWh/d
2015-09-25,162473835,kWh/d
2015-09-26,162473835,kWh/d
2015-09-27,162473835,kWh/d
2015-09-28,162473835,kWh/d
2015-09-29,162473835,kWh/d
2015-09-30,162473835,kWh/d
2015-10-01,147140128,kWh/d
2015-10-02,147164064,kWh/d
2015-10-03,147140128,kWh/d
2015-10-04,147140128,kWh/d
2015-10-05,147140128,kWh/d
2015-10-06,147140128,kWh/d
2015-10-07,147140128,kWh/d
2015-10-08,147140128,kWh/d
2015-10-09,147140128,kWh/d
2015-10-10,147140128,kWh/d
2015-10-11,147140128,kWh/d
2015-10-12,147140128,kWh/d
2015-10-13,147140128,kWh/d
2015-10-14,147140128,kWh/d
2015-10-15,147140128,kWh/d
2015-10-16,147140140,kWh/d
2015-10-17,147140128,kWh/d
2015-10-18,147140128,kWh/d
2015-10-19,147140128,kWh/d
2015-10-20,147140128,kWh/d
2015-10-21,147140140,kWh/d
2015-10-22,147140140,kWh/d
2015-10-23,147140140,kWh/d
2015-10-24,147140140,kWh/d
2015-10-25,147140140,kWh/d
2015-10-26,147140140,kWh/d
2015-10-27,147140140,kWh/d
2015-10-28,147140140,kWh/d
2015-10-29,147140140,kWh/d
2015-10-30,147140140,kWh/d
2015-10-31,147140140,kWh/d
2015-11-01,147141136,kWh/d
2015-11-02,147141136,kWh/d
2015-11-03,147141136,kWh/d
2015-11-04,147141136,kWh/d
2015-11-05,147141136,kWh/d
2015-11-06,147141136,kWh/d
2015-11-07,147141136,kWh/d
2015-11-08,147141136,kWh/d
2015-11-09,147141136,kWh/d
2015-11-10,147141136,kWh/d
2015-11-11,147141136,kWh/d
2015-11-12,147141136,kWh/d
2015-11-13,153143162,kWh/d
2015-11-14,147141136,kWh/d
2015-11-15,147141136,kWh/d
2015-11-16,147141136,kWh/d
2015-11-17,153141168,kWh/d
2015-11-18,147141147,kWh/d
2015-11-19,154141152,kWh/d
2015-11-20,152391180,kWh/d
2015-11-21,147141136,kWh/d
2015-11-22,147141136,kWh/d
2015-11-23,147141136,kWh/d
2015-11-24,164572107,kWh/d
2015-11-25,147141136,kWh/d
2015-11-26,147261136,kWh/d
2015-11-27,151141152,kWh/d
2015-11-28,147141136,kWh/d
2015-11-29,147141136,kWh/d
2015-11-30,164572107,kWh/d
2015-12-01,155349122,kWh/d
2015-12-02,147645120,kWh/d
2015-12-03,147141136,kWh/d
2015-12-04,147141120,kWh/d
2015-12-05,147141120,kWh/d
2015-12-06,147141120,kWh/d
2015-12-07,147141120,kWh/d
2015-12-08,147141120,kWh/d
2015-12-09,147141120,kWh/d
2015-12-10,147141120,kWh/d
2015-12-11,147141120,kWh/d
2015-12-12,147141120,kWh/d
2015-12-13,147141136,kWh/d
2015-12-14,147141120,kWh/d
2015-12-15,147141120,kWh/d
2015-12-16,147141120,kWh/d
2015-12-17,147141120,kWh/d
2015-12-18,147141120,kWh/d
2015-12-19,147141120,kWh/d
2015-12-20,147141120,kWh/d
2015-12-21,147141120,kWh/d
2015-12-22,147141136,kWh/d
2015-12-23,147141136,kWh/d
2015-12-24,150141120,kWh/d
2015-12-25,147165120,kWh/d
2015-12-26,147141120,kWh/d
2015-12-27,147141136,kWh/d
2015-12-28,147141136,kWh/d
2015-12-29,147141120,kWh/d
2015-12-30,147141136,kWh/d
2015-12-31,147141136,kWh/d
2016-01-01,147141376,kWh/d
2016-01-02,147141136,kWh/d
2016-01-03,147141136,kWh/d
2016-01-04,147141136,kWh/d
2016-01-05,147141136,kWh/d
2016-01-06,147141136,kWh/d
2016-01-07,147141136,kWh/d
2016-01-08,147141168,kWh/d
2016-01-09,147141136,kWh/d
2016-01-10,147141136,kWh/d
2016-01-11,150150147,kWh/d
2016-01-12,147141136,kWh/d
2016-01-13,147141136,kWh/d
2016-01-14,147141136,kWh/d
2016-01-15,152141152,kWh/d
2016-01-16,147141136,kWh/d
2016-01-17,147141136,kWh/d
2016-01-18,147141136,kWh/d
2016-01-19,157081147,kWh/d
2016-01-20,156761147,kWh/d
2016-01-21,160398000,kWh/d
2016-01-22,152541136,kWh/d
2016-01-23,147141136,kWh/d
2016-01-24,147141136,kWh/d
2016-01-25,148849136,kWh/d
2016-01-26,151793152,kWh/d
2016-01-27,153931152,kWh/d
2016-01-28,152761152,kWh/d
2016-01-29,148141152,kWh/d
2016-01-30,147141136,kWh/d
2016-01-31,147141136,kWh/d
2016-02-01,152136160,kWh/d
2016-02-02,151761136,kWh/d
2016-02-03,151665136,kWh/d
2016-02-04,150321136,kWh/d
2016-02-05,148641136,kWh/d
2016-02-06,148641136,kWh/d
2016-02-07,149433136,kWh/d
2016-02-08,148641136,kWh/d
2016-02-09,148641152,kWh/d
2016-02-10,148641136,kWh/d
2016-02-11,149145136,kWh/d
2016-02-12,152665152,kWh/d
2016-02-13,148641136,kWh/d
2016-02-14,148641136,kWh/d
2016-02-15,152141147,kWh/d
2016-02-16,152771147,kWh/d
2016-02-17,153317147,kWh/d
2016-02-18,148641147,kWh/d
2016-02-19,148653136,kWh/d
2016-02-20,148641136,kWh/d
2016-02-21,148641136,kWh/d
2016-02-22,151567147,kWh/d
2016-02-23,148641147,kWh/d
2016-02-24,148641136,kWh/d
2016-02-25,148641136,kWh/d
2016-02-26,150979147,kWh/d
2016-02-27,148641136,kWh/d
2016-02-28,148641136,kWh/d
2016-02-29,150979147,kWh/d
2016-03-01,148641147,kWh/d
2016-03-02,152729147,kWh/d
2016-03-03,154711027,kWh/d
2016-03-04,148665136,kWh/d
2016-03-05,148641136,kWh/d
2016-03-06,148641136,kWh/d
2016-03-07,156802965,kWh/d
2016-03-08,157934227,kWh/d
2016-03-09,155471021,kWh/d
2016-03-10,155636989,kWh/d
2016-03-11,153305051,kWh/d
2016-03-12,148641136,kWh/d
2016-03-13,148641136,kWh/d
2016-03-14,155683013,kWh/d
2016-03-15,160489147,kWh/d
2016-03-16,159928459,kWh/d
2016-03-17,148641171,kWh/d
2016-03-18,151313162,kWh/d
2016-03-19,148641136,kWh/d
2016-03-20,148641136,kWh/d
2016-03-21,148641136,kWh/d
2016-03-22,149807122,kWh/d
2016-03-23,149807122,kWh/d
2016-03-24,148641136,kWh/d
2016-03-25,148641136,kWh/d
2016-03-26,148641136,kWh/d
2016-03-27,148641136,kWh/d
2016-03-28,148641136,kWh/d
2016-03-29,150390111,kWh/d
2016-03-30,148641219,kWh/d
2016-03-31,148641136,kWh/d
2016-04-01,147140128,kWh/d
2016-04-02,147140128,kWh/d
2016-04-03,147140128,kWh/d
2016-04-04,147140972,kWh/d
2016-04-05,147140128,kWh/d
2016-04-06,147140140,kWh/d
2016-04-07,147140128,kWh/d
2016-04-08,147140128,kWh/d
2016-04-09,147140128,kWh/d
2016-04-10,147140128,kWh/d
2016-04-11,147140140,kWh/d
2016-04-12,147140128,kWh/d
2016-04-13,147140128,kWh/d
2016-04-14,147140140,kWh/d
2016-04-15,147140140,kWh/d
2016-04-16,147140128,kWh/d
2016-04-17,147140128,kWh/d
2016-04-18,147140128,kWh/d
2016-04-19,147140140,kWh/d
2016-04-20,147140140,kWh/d
2016-04-21,147140140,kWh/d
2016-04-22,147140140,kWh/d
2016-04-23,147140128,kWh/d
2016-04-24,147140128,kWh/d
2016-04-25,147140128,kWh/d
2016-04-26,147140128,kWh/d
2016-04-27,147140128,kWh/d
2016-04-28,147140160,kWh/d
2016-04-29,147140128,kWh/d
2016-04-30,147140128,kWh/d
2016-05-01,147141136,kWh/d
2016-05-02,147141136,kWh/d
2016-05-03,147141136,kWh/d
2016-05-04,147141136,kWh/d
2016-05-05,147141136,kWh/d
2016-05-06,147141136,kWh/d
2016-05-07,147141136,kWh/d
2016-05-08,147141136,kWh/d
2016-05-09,147141136,kWh/d
2016-05-10,147140140,kWh/d
2016-05-11,147140140,kWh/d
2016-05-12,147140140,kWh/d
2016-05-13,147140140,kWh/d
2016-05-14,147141136,kWh/d
2016-05-15,147141136,kWh/d
2016-05-16,147141136,kWh/d
2016-05-17,147141136,kWh/d
2016-05-18,147141136,kWh/d
2016-05-19,147140140,kWh/d
2016-05-20,147141147,kWh/d
2016-05-21,147141136,kWh/d
2016-05-22,147141136,kWh/d
2016-05-23,147141136,kWh/d
2016-05-24,147140160,kWh/d
2016-05-25,147140160,kWh/d
2016-05-26,147140160,kWh/d
2016-05-27,147140160,kWh/d
2016-05-28,147140160,kWh/d
2016-05-29,147140160,kWh/d
2016-05-30,147140140,kWh/d
2016-05-31,147140140,kWh/d
2016-06-01,147140176,kWh/d
2016-06-02,147140176,kWh/d
2016-06-03,147140176,kWh/d
2016-06-04,147140176,kWh/d
2016-06-05,147140176,kWh/d
2016-06-06,147140176,kWh/d
2016-06-07,147140176,kWh/d
2016-06-08,147140176,kWh/d
2016-06-09,147140176,kWh/d
2016-06-10,147140176,kWh/d
2016-06-11,147140176,kWh/d
2016-06-12,147140176,kWh/d
2016-06-13,147140176,kWh/d
2016-06-14,147140176,kWh/d
2016-06-15,147140176,kWh/d
2016-06-16,147140176,kWh/d
2016-06-17,147140176,kWh/d
2016-06-18,147140176,kWh/d
2016-06-19,147140176,kWh/d
2016-06-20,147140176,kWh/d
2016-06-21,147140176,kWh/d
2016-06-22,147140176,kWh/d
2016-06-23,147140176,kWh/d
2016-06-24,147140176,kWh/d
2016-06-25,147140176,kWh/d
2016-06-26,147140176,kWh/d
2016-06-27,147140176,kWh/d
2016-06-28,147140176,kWh/d
2016-06-29,147140176,kWh/d
2016-06-30,147140176,kWh/d
2016-07-01,147140160,kWh/d
2016-07-02,147140160,kWh/d
2016-07-03,147140160,kWh/d
2016-07-04,147140160,kWh/d
2016-07-05,147140160,kWh/d
2016-07-06,147140160,kWh/d
2016-07-07,147140160,kWh/d
2016-07-08,147140160,kWh/d
2016-07-09,147140160,kWh/d
2016-07-10,147140160,kWh/d
2016-07-11,147140160,kWh/d
2016-07-12,147140160,kWh/d
2016-07-13,147140160,kWh/d
2016-07-14,147140160,kWh/d
2016-07-15,147140160,kWh/d
2016-07-16,147140160,kWh/d
2016-07-17,147140160,kWh/d
2016-07-18,147140160,kWh/d
2016-07-19,147140160,kWh/d
2016-07-20,147140160,kWh/d
2016-07-21,147140160,kWh/d
2016-07-22,147140160,kWh/d
2016-07-23,147140160,kWh/d
2016-07-24,147140160,kWh/d
2016-07-25,147140160,kWh/d
2016-07-26,147140160,kWh/d
2016-07-27,147140160,kWh/d
2016-07-28,147140160,kWh/d
2016-07-29,147140160,kWh/d
2016-07-30,147140160,kWh/d
2016-07-31,147140160,kWh/d
2016-08-01,147140176,kWh/d
2016-08-02,147140176,kWh/d
2016-08-03,147140176,kWh/d
2016-08-04,147140176,kWh/d
2016-08-05,147140176,kWh/d
2016-08-06,147140176,kWh/d
2016-08-07,147140176,kWh/d
2016-08-08,147140176,kWh/d
2016-08-09,147140176,kWh/d
2016-08-10,147140176,kWh/d
2016-08-11,147140176,kWh/d
2016-08-12,147140176,kWh/d
2016-08-13,147140176,kWh/d
2016-08-14,147140176,kWh/d
2016-08-15,147140176,kWh/d
2016-08-16,147140176,kWh/d
2016-08-17,147140176,kWh/d
2016-08-18,147140176,kWh/d
2016-08-19,147140176,kWh/d
2016-08-20,147140176,kWh/d
2016-08-21,147140176,kWh/d
2016-08-22,147140176,kWh/d
2016-08-23,147140176,kWh/d
2016-08-24,147140176,kWh/d
2016-08-25,147140176,kWh/d
2016-08-26,147140176,kWh/d
2016-08-27,147140176,kWh/d
2016-08-28,147140176,kWh/d
2016-08-29,147140176,kWh/d
2016-08-30,147140176,kWh/d
2016-08-31,147140176,kWh/d
2016-09-01,147140134,kWh/d
2016-09-02,147140134,kWh/d
2016-09-03,147140134,kWh/d
2016-09-04,147140134,kWh/d
2016-09-05,147140134,kWh/d
2016-09-06,147140134,kWh/d
2016-09-07,147140134,kWh/d
2016-09-08,147140134,kWh/d
2016-09-09,147140134,kWh/d
2016-09-10,147140134,kWh/d
2016-09-11,147140134,kWh/d
2016-09-12,147140134,kWh/d
2016-09-13,147140134,kWh/d
2016-09-14,147140134,kWh/d
2016-09-15,147140134,kWh/d
2016-09-16,147140134,kWh/d
2016-09-17,147140134,kWh/d
2016-09-18,147140134,kWh/d
2016-09-19,147140134,kWh/d
2016-09-20,147140134,kWh/d
2016-09-21,147140134,kWh/d
2016-09-22,147140134,kWh/d
2016-09-23,147140134,kWh/d
2016-09-24,147140134,kWh/d
2016-09-25,147140134,kWh/d
2016-09-26,147140134,kWh/d
2016-09-27,147140134,kWh/d
2016-09-28,147140134,kWh/d
2016-09-29,147140134,kWh/d
2016-09-30,147140134,kWh/d
2016-10-01,147631077,kWh/d
2016-10-02,147631077,kWh/d
2016-10-03,147631077,kWh/d
2016-10-04,147631107,kWh/d
2016-10-05,147631107,kWh/d
2016-10-06,147631107,kWh/d
2016-10-07,147631107,kWh/d
2016-10-08,147631077,kWh/d
2016-10-09,147631077,kWh/d
2016-10-10,147631107,kWh/d
2016-10-11,147631107,kWh/d
2016-10-12,147631077,kWh/d
2016-10-13,147631107,kWh/d
2016-10-14,147631077,kWh/d
2016-10-15,147631077,kWh/d
2016-10-16,147631077,kWh/d
2016-10-17,147631107,kWh/d
2016-10-18,147631107,kWh/d
2016-10-19,147631107,kWh/d
2016-10-20,147631107,kWh/d
2016-10-21,147631107,kWh/d
2016-10-22,147631077,kWh/d
2016-10-23,147631077,kWh/d
2016-10-24,147631107,kWh/d
2016-10-25,147631107,kWh/d
2016-10-26,147631107,kWh/d
2016-10-27,147631107,kWh/d
2016-10-28,147631107,kWh/d
2016-10-29,147631107,kWh/d
2016-10-30,147631077,kWh/d
2016-10-31,147631077,kWh/d
2016-11-01,147631077,kWh/d
2016-11-02,147631077,kWh/d
2016-11-03,147655077,kWh/d
2016-11-04,147631077,kWh/d
2016-11-05,147631077,kWh/d
2016-11-06,147631077,kWh/d
2016-11-07,147631077,kWh/d
2016-11-08,147631086,kWh/d
2016-11-09,147631077,kWh/d
2016-11-10,147631077,kWh/d
2016-11-11,147631077,kWh/d
2016-11-12,147631077,kWh/d
2016-11-13,147631077,kWh/d
2016-11-14,147631077,kWh/d
2016-11-15,147631077,kWh/d
2016-11-16,147631077,kWh/d
2016-11-17,147631077,kWh/d
2016-11-18,147631077,kWh/d
2016-11-19,147631077,kWh/d
2016-11-20,147631077,kWh/d
2016-11-21,147631077,kWh/d
2016-11-22,151644122,kWh/d
2016-11-23,151639076,kWh/d
2016-11-24,147631077,kWh/d
2016-11-25,147631077,kWh/d
2016-11-26,147631077,kWh/d
2016-11-27,147631077,kWh/d
2016-11-28,147637718,kWh/d
2016-11-29,147635111,kWh/d
2016-11-30,147631077,kWh/d
2016-12-01,147631053,kWh/d
2016-12-02,147631053,kWh/d
2016-12-03,147631053,kWh/d
2016-12-04,147631053,kWh/d
2016-12-05,147634089,kWh/d
2016-12-06,160856583,kWh/d
2016-12-07,164572107,kWh/d
2016-12-08,155065022,kWh/d
2016-12-09,162631053,kWh/d
2016-12-10,147631053,kWh/d
2016-12-11,147631053,kWh/d
2016-12-12,148142958,kWh/d
2016-12-13,164572107,kWh/d
2016-12-14,164572107,kWh/d
2016-12-15,164572106,kWh/d
2016-12-16,164572105,kWh/d
2016-12-17,164572107,kWh/d
2016-12-18,156031383,kWh/d
2016-12-19,157137583,kWh/d
2016-12-20,151631085,kWh/d
2016-12-21,148641283,kWh/d
2016-12-22,164572107,kWh/d
2016-12-23,153139100,kWh/d
2016-12-24,147631053,kWh/d
2016-12-25,147641060,kWh/d
2016-12-26,147631053,kWh/d
2016-12-27,147631053,kWh/d
2016-12-28,147631053,kWh/d
2016-12-29,147631053,kWh/d
2016-12-30,147631053,kWh/d
2016-12-31,147631053,kWh/d
2017-01-01,164572076,kWh/d
2017-01-02,164569108,kWh/d
2017-01-03,164572106,kWh/d
2017-01-04,164572106,kWh/d
2017-01-05,164572106,kWh/d
2017-01-06,163679090,kWh/d
2017-01-07,163679090,kWh/d
2017-01-08,163679611,kWh/d
2017-01-09,164572106,kWh/d
2017-01-10,164572106,kWh/d
2017-01-11,164572106,kWh/d
2017-01-12,163679202,kWh/d
2017-01-13,163679090,kWh/d
2017-01-14,163679060,kWh/d
2017-01-15,164079068,kWh/d
2017-01-16,163679060,kWh/d
2017-01-17,163679351,kWh/d
2017-01-18,163679425,kWh/d
2017-01-19,164567090,kWh/d
2017-01-20,163679090,kWh/d
2017-01-21,163679060,kWh/d
2017-01-22,163679060,kWh/d
2017-01-23,164572106,kWh/d
2017-01-24,163679090,kWh/d
2017-01-25,163679060,kWh/d
2017-01-26,163679060,kWh/d
2017-01-27,163679462,kWh/d
2017-01-28,164572106,kWh/d
2017-01-29,164572106,kWh/d
2017-01-30,164572106,kWh/d
2017-01-31,164572106,kWh/d
2017-02-01,164572107,kWh/d
2017-02-02,158815053,kWh/d
2017-02-03,158815053,kWh/d
2017-02-04,158815053,kWh/d
2017-02-05,158815053,kWh/d
2017-02-06,158815053,kWh/d
2017-02-07,158815053,kWh/d
2017-02-08,158815053,kWh/d
2017-02-09,158815053,kWh/d
2017-02-10,158815053,kWh/d
2017-02-11,158815053,kWh/d
2017-02-12,158815053,kWh/d
2017-02-13,158815053,kWh/d
2017-02-14,158815053,kWh/d
2017-02-15,158815053,kWh/d
2017-02-16,158815053,kWh/d
2017-02-17,158815053,kWh/d
2017-02-18,158815053,kWh/d
2017-02-19,158815053,kWh/d
2017-02-20,158815053,kWh/d
2017-02-21,158815053,kWh/d
2017-02-22,158815053,kWh/d
2017-02-23,158815053,kWh/d
2017-02-24,158815053,kWh/d
2017-02-25,158815053,kWh/d
2017-02-26,158815053,kWh/d
2017-02-27,158815053,kWh/d
2017-02-28,158815053,kWh/d
2017-03-01,147631053,kWh/d
2017-03-02,147631053,kWh/d
2017-03-03,147631053,kWh/d
2017-03-04,147631053,kWh/d
2017-03-05,147631053,kWh/d
2017-03-06,147631053,kWh/d
2017-03-07,147631053,kWh/d
2017-03-08,147631053,kWh/d
2017-03-09,147631053,kWh/d
2017-03-10,147631053,kWh/d
2017-03-11,147631053,kWh/d
2017-03-12,147631053,kWh/d
2017-03-13,147631053,kWh/d
2017-03-14,147631053,kWh/d
2017-03-15,147631053,kWh/d
2017-03-16,147631053,kWh/d
2017-03-17,147631053,kWh/d
2017-03-18,147631053,kWh/d
2017-03-19,147631053,kWh/d
2017-03-20,147631053,kWh/d
2017-03-21,147631053,kWh/d
2017-03-22,147631053,kWh/d
2017-03-23,147631053,kWh/d
2017-03-24,147631053,kWh/d
2017-03-25,147631053,kWh/d
2017-03-26,147631053,kWh/d
2017-03-27,147631083,kWh/d
2017-03-28,147631053,kWh/d
2017-03-29,147631053,kWh/d
2017-03-30,147631053,kWh/d
2017-03-31,147631053,kWh/d
2017-04-01,147631053,kWh/d
