Date,Asset,MeasureName,Value,Unit
2020-01-25,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-26,Cartagena,LNG Unloaded,139000.0,m3 LNG
2020-01-27,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-28,Cartagena,LNG Unloaded,142000.0,m3 LNG
2020-01-29,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-30,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-31,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-01,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-02,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-03,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-04,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-05,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-06,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-07,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-08,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-09,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-10,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-11,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-12,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-13,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-14,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-15,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-16,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-17,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-18,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-19,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-20,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-21,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-22,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-23,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-24,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-25,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-26,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-27,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-28,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-29,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-30,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-31,Cartagena,LNG Loaded,0.0,m3 LNG
2020-01-01,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-02,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-03,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-04,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-05,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-06,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-07,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-08,Huelva,LNG Unloaded,73000.0,m3 LNG
2020-01-09,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-10,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-11,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-12,Huelva,LNG Unloaded,139000.0,m3 LNG
2020-01-13,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-14,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-15,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-16,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-17,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-18,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-19,Huelva,LNG Unloaded,132000.0,m3 LNG
2020-01-20,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-21,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-22,Huelva,LNG Unloaded,146000.0,m3 LNG
2020-01-23,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-24,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-25,Huelva,LNG Unloaded,160000.0,m3 LNG
2020-01-26,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-27,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-28,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-29,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-30,Huelva,LNG Unloaded,132000.0,m3 LNG
2020-01-31,Huelva,LNG Unloaded,0.0,m3 LNG
2020-01-01,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-02,Huelva,LNG Loaded,3700.0,m3 LNG
2020-01-03,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-04,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-05,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-06,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-07,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-08,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-09,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-10,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-11,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-12,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-13,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-14,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-15,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-16,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-17,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-18,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-19,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-20,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-21,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-22,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-23,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-24,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-25,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-26,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-27,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-28,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-29,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-30,Huelva,LNG Loaded,0.0,m3 LNG
2020-01-31,Huelva,LNG Loaded,3700.0,m3 LNG
2020-01-01,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-02,Bilbao,LNG Unloaded,146000.0,m3 LNG
2020-01-03,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-04,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-05,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-06,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-07,Bilbao,LNG Unloaded,154000.0,m3 LNG
2020-01-08,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-09,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-10,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-11,Bilbao,LNG Unloaded,160000.0,m3 LNG
2020-01-12,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-13,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-14,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-15,Bilbao,LNG Unloaded,160000.0,m3 LNG
2020-01-16,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-17,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-18,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-19,Bilbao,LNG Unloaded,136000.0,m3 LNG
2020-01-20,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-21,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-22,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-23,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-24,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-25,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-26,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-27,Bilbao,LNG Unloaded,150000.0,m3 LNG
2020-01-28,Bilbao,LNG Unloaded,129000.0,m3 LNG
2020-01-29,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-30,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-31,Bilbao,LNG Unloaded,0.0,m3 LNG
2020-01-01,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-02,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-03,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-04,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-05,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-06,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-07,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-08,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-09,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-10,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-11,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-12,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-13,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-14,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-15,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-16,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-17,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-18,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-19,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-20,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-21,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-22,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-23,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-24,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-25,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-26,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-27,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-28,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-29,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-30,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-31,Bilbao,LNG Loaded,0.0,m3 LNG
2020-01-01,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-02,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-03,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-04,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-05,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-06,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-07,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-08,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-09,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-10,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-11,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-12,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-13,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-14,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-15,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-16,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-17,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-18,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-19,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-20,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-21,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-22,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-23,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-24,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-25,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-26,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-27,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-28,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-29,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-30,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-31,Sagunto,LNG Unloaded,0.0,m3 LNG
2020-01-01,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-02,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-03,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-04,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-05,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-06,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-07,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-08,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-09,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-10,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-11,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-12,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-13,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-14,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-15,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-16,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-17,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-18,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-19,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-20,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-21,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-22,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-23,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-24,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-25,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-26,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-27,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-28,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-29,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-30,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-31,Sagunto,LNG Loaded,0.0,m3 LNG
2020-01-01,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-02,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-03,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-04,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-05,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-06,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-07,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-08,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-09,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-10,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-11,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-12,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-13,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-14,Mugardos,LNG Unloaded,125000.0,m3 LNG
2020-01-15,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-16,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-17,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-18,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-19,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-20,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-21,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-22,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-23,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-24,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-25,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-26,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-27,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-28,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-29,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-30,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-31,Mugardos,LNG Unloaded,0.0,m3 LNG
2020-01-01,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-02,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-03,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-04,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-05,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-06,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-07,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-08,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-09,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-10,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-11,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-12,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-13,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-14,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-15,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-16,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-17,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-18,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-19,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-20,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-21,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-22,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-23,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-24,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-25,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-26,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-27,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-28,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-29,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-30,Mugardos,LNG Loaded,0.0,m3 LNG
2020-01-31,Mugardos,LNG Loaded,0.0,m3 LNG
